gene_callers_id	detection
231839	DETECTED
231840	DETECTED
231841	DETECTED
231842	DETECTED
231843	DETECTED
231844	DETECTED
231845	DETECTED
231846	DETECTED
231847	DETECTED
231848	DETECTED
231849	DETECTED
231850	DETECTED
231851	DETECTED
231852	DETECTED
231853	DETECTED
231854	DETECTED
231855	DETECTED
231856	DETECTED
231857	DETECTED
231858	DETECTED
231859	DETECTED
231860	DETECTED
231861	DETECTED
231862	DETECTED
231863	DETECTED
231864	DETECTED
231865	DETECTED
231866	DETECTED
231867	DETECTED
231868	DETECTED
231869	DETECTED
231870	DETECTED
231871	DETECTED
231872	DETECTED
231873	DETECTED
231874	DETECTED
231875	DETECTED
231876	DETECTED
231877	DETECTED
231878	DETECTED
231879	DETECTED
231880	DETECTED
231881	DETECTED
231882	DETECTED
231883	DETECTED
231884	DETECTED
231885	DETECTED
231886	DETECTED
231887	DETECTED
231888	DETECTED
231889	DETECTED
231890	DETECTED
231891	DETECTED
231892	DETECTED
231893	DETECTED
231894	DETECTED
231895	DETECTED
231896	DETECTED
231897	DETECTED
231898	DETECTED
231899	DETECTED
231900	DETECTED
231901	DETECTED
231902	DETECTED
231903	DETECTED
231904	DETECTED
231905	DETECTED
231906	DETECTED
231907	DETECTED
231908	DETECTED
231909	DETECTED
231910	DETECTED
231911	DETECTED
231912	DETECTED
231913	DETECTED
231914	DETECTED
231915	DETECTED
231916	DETECTED
231917	DETECTED
231918	DETECTED
231919	DETECTED
231920	DETECTED
231921	DETECTED
231922	DETECTED
231923	DETECTED
231924	DETECTED
231925	DETECTED
231926	DETECTED
231927	DETECTED
231928	DETECTED
231929	DETECTED
231930	NOT DETECTED
231931	NOT DETECTED
231932	NOT DETECTED
231933	NOT DETECTED
231934	NOT DETECTED
231935	NOT DETECTED
231936	NOT DETECTED
231937	NOT DETECTED
231938	NOT DETECTED
231939	NOT DETECTED
231940	NOT DETECTED
231941	NOT DETECTED
231942	NOT DETECTED
231943	NOT DETECTED
231944	NOT DETECTED
231945	NOT DETECTED
231946	NOT DETECTED
231947	NOT DETECTED
231948	NOT DETECTED
231949	NOT DETECTED
231950	NOT DETECTED
231951	NOT DETECTED
231952	NOT DETECTED
231953	DETECTED
231954	NOT DETECTED
231955	DETECTED
231956	NOT DETECTED
231957	NOT DETECTED
231958	NOT DETECTED
231959	NOT DETECTED
231960	NOT DETECTED
231961	NOT DETECTED
231962	NOT DETECTED
231963	NOT DETECTED
231964	NOT DETECTED
231965	NOT DETECTED
231966	NOT DETECTED
231967	NOT DETECTED
